,House ID,bathrooms,bedrooms,blessings,builder,capital_distance,dateb,datep,dining_rooms,dock_distance,farm,garden,holy_tree,king_visited,knights_house_distance,location,renovation,river_distance,royal_market,sorcerer_cursed,tower_distance,Golden Grains
0,1848823488.0,,4.0,160.0,0.0,0.256239,584875.0,587511.0,3.0,138.600639,0.5,0.0,1.0,0.0,10.505662,3.0,0.0,63.109038,69.486467,0.0,14.394903,1470912.0
1,1848823492.0,,4.0,133.0,8.0,26.882222,584271.0,588537.0,2.0,16.254871,0.0,1.0,,1.0,37.249456,0.0,0.0,53.249336,34.145238,0.0,101.052598,1241030.0
2,1848823497.0,2.0,,24.0,,136.448973,584160.0,587116.0,3.0,6.555428,0.5,0.0,1.0,0.0,146.553349,,0.0,72.245533,78.445508,0.0,88.480988,838723.0
3,1848823502.0,2.0,2.0,140.0,4.0,19.885265,585167.0,588206.0,2.0,79.72455,0.5,0.0,,0.0,29.921162,0.0,0.0,8.059939,92.698917,0.0,22.395136,1267804.0
4,1848823505.0,2.0,2.0,159.0,3.0,0.519507,585131.0,587968.0,3.0,101.541256,1.0,0.0,1.0,0.0,10.85578,0.0,0.0,35.706541,3.605055,0.0,81.449646,1497166.0
5,1848823507.0,4.0,2.0,152.0,3.0,7.575922,585151.0,588423.0,,48.601612,0.5,0.0,1.0,0.0,18.378692,3.0,0.0,72.111768,32.236989,0.0,47.180399,1428460.0
6,1848823509.0,2.0,2.0,158.0,9.0,1.95597,584105.0,586891.0,3.0,32.624227,1.0,0.0,1.0,0.0,12.389964,2.0,0.0,33.929217,88.485147,0.0,77.692256,1453568.0
7,1848823511.0,3.0,3.0,144.0,2.0,15.776747,585247.0,587824.0,,84.170405,1.0,0.0,1.0,0.0,26.231919,2.0,0.0,27.379252,62.816373,0.0,51.870346,1381186.0
8,1848823514.0,3.0,3.0,37.0,0.0,122.930753,585428.0,588346.0,4.0,10.998322,1.0,0.0,1.0,0.0,132.934312,0.0,0.0,17.045949,63.794375,0.0,53.019891,1052137.0
9,1848823517.0,3.0,3.0,157.0,1.0,2.809867,584576.0,586897.0,3.0,60.265361,0.5,0.0,1.0,0.0,13.188134,2.0,,36.93498,23.701329,0.0,89.658984,1473032.0
10,1848823519.0,2.0,2.0,157.0,8.0,2.738666,584651.0,587596.0,3.0,11.938817,0.5,0.0,,0.0,13.151035,2.0,1.0,17.666228,5.58977,0.0,12.033816,1442065.0
11,1848823524.0,2.0,3.0,160.0,9.0,0.212412,584740.0,586808.0,4.0,13.986232,1.0,0.0,1.0,0.0,10.794902,0.0,0.0,78.94806,20.485516,0.0,138.362509,1583875.0
12,1848823529.0,4.0,3.0,155.0,,5.128739,585168.0,588193.0,2.0,38.977167,0.5,,,0.0,15.41681,3.0,0.0,20.965323,44.068565,0.0,152.377106,1430528.0
13,1848823531.0,4.0,2.0,74.0,,85.723029,584307.0,588089.0,2.0,135.364314,0.5,0.0,,0.0,96.158416,0.0,0.0,19.19682,,0.0,48.236597,957702.0
14,1848823533.0,3.0,2.0,135.0,7.0,24.762207,584517.0,588633.0,4.0,23.614598,0.5,0.0,1.0,0.0,35.537406,0.0,0.0,7.69931,84.008876,0.0,,1330487.0
15,1848823539.0,2.0,4.0,137.0,9.0,23.338276,584775.0,588290.0,3.0,,0.5,0.0,1.0,0.0,34.143765,1.0,0.0,0.630053,126.491446,0.0,128.876997,1309373.0
16,1848823545.0,2.0,4.0,92.0,8.0,68.371189,584504.0,588180.0,,35.488288,0.5,0.0,0.0,0.0,78.519339,1.0,0.0,37.27244,44.62349,1.0,20.89483,1109247.0
17,1848823548.0,4.0,3.0,93.0,2.0,67.341891,585418.0,587028.0,4.0,57.719253,0.5,0.0,1.0,0.0,77.701631,2.0,0.0,71.789958,,0.0,119.177337,1185887.0
18,1848823550.0,4.0,3.0,93.0,3.0,66.593962,584827.0,588536.0,3.0,43.15605,0.5,0.0,1.0,0.0,77.473677,0.0,1.0,42.888742,16.472091,0.0,62.472761,1219965.0
19,1848823553.0,2.0,2.0,108.0,8.0,52.209955,585184.0,586657.0,4.0,81.58993,0.5,0.0,1.0,0.0,62.646237,,1.0,10.558469,2.228096,0.0,125.088833,1322296.0
20,1848823559.0,4.0,4.0,139.0,3.0,20.748392,586419.0,588705.0,4.0,,0.5,0.0,,0.0,31.432421,3.0,0.0,16.919434,70.848219,0.0,69.096122,1468637.0
21,1848823561.0,3.0,2.0,79.0,0.0,80.970959,585206.0,587822.0,2.0,52.819705,0.5,0.0,1.0,0.0,91.425357,1.0,0.0,6.548119,96.656914,0.0,70.965631,1017577.0
22,1848823566.0,3.0,3.0,94.0,7.0,65.509891,586263.0,587401.0,2.0,60.198424,1.0,0.0,1.0,0.0,76.231255,0.0,0.0,52.220719,108.357045,0.0,179.275253,1150209.0
23,1848823568.0,3.0,4.0,159.0,1.0,0.531688,584249.0,587575.0,3.0,31.038516,0.5,0.0,1.0,0.0,11.402158,1.0,0.0,53.012429,115.459079,0.0,117.597482,1351400.0
24,1848823571.0,2.0,2.0,89.0,3.0,70.864401,586153.0,587315.0,2.0,85.472652,0.5,0.0,1.0,0.0,81.862921,2.0,1.0,3.079892,13.310768,,21.514952,1226995.0
25,1848823575.0,3.0,2.0,159.0,3.0,1.034696,585360.0,587913.0,3.0,18.69285,0.5,,,0.0,11.447193,1.0,0.0,55.267216,68.243586,0.0,,1328810.0
26,1848823578.0,3.0,2.0,105.0,7.0,54.728789,585992.0,588594.0,4.0,11.585549,0.5,0.0,,0.0,65.333281,0.0,0.0,38.447667,13.620052,0.0,12.494618,1273623.0
27,1848823584.0,4.0,3.0,135.0,4.0,25.106037,584088.0,587753.0,4.0,145.034612,0.5,0.0,1.0,0.0,36.084848,0.0,0.0,21.44816,141.942752,0.0,24.82466,1263657.0
28,1848823590.0,4.0,4.0,135.0,2.0,25.097674,584179.0,586655.0,2.0,1.072398,0.5,0.0,1.0,0.0,35.225807,0.0,0.0,46.328111,60.114222,0.0,143.926651,1386556.0
29,1848823594.0,4.0,4.0,143.0,3.0,16.519207,586462.0,586930.0,3.0,27.395888,0.5,0.0,1.0,0.0,26.808392,,,10.327582,21.911712,0.0,36.647534,1620012.0
30,1848823599.0,4.0,4.0,100.0,3.0,60.315918,586532.0,586995.0,3.0,83.884547,0.0,1.0,1.0,1.0,70.653917,0.0,1.0,3.659866,74.440462,0.0,14.186489,1339790.0
31,1848823602.0,3.0,4.0,34.0,3.0,125.909425,584335.0,586805.0,4.0,14.335892,0.5,0.0,0.0,0.0,136.481039,1.0,0.0,14.833137,13.760539,1.0,14.041083,1053131.0
32,1848823605.0,4.0,4.0,145.0,6.0,14.771254,584981.0,586734.0,,,0.5,0.0,1.0,0.0,25.249336,0.0,0.0,57.998381,47.208782,0.0,143.697581,1437162.0
33,1848823607.0,4.0,2.0,151.0,3.0,8.87772,585494.0,587622.0,3.0,26.56988,0.5,0.0,1.0,0.0,19.658196,0.0,0.0,35.378385,132.820614,0.0,78.734685,1386055.0
34,1848823611.0,4.0,2.0,128.0,1.0,31.803728,584600.0,588382.0,3.0,,0.5,0.0,1.0,0.0,42.522518,,0.0,27.337864,76.911213,0.0,67.482017,1274727.0
35,1848823613.0,4.0,2.0,156.0,3.0,3.694051,584223.0,587017.0,3.0,31.795669,0.5,0.0,1.0,0.0,13.72868,0.0,0.0,7.53747,45.184515,0.0,215.291212,1452049.0
36,1848823615.0,4.0,2.0,72.0,3.0,87.711658,586572.0,586939.0,2.0,46.037313,0.5,0.0,1.0,0.0,97.72198,0.0,0.0,67.690842,48.592949,0.0,206.456805,1084410.0
37,1848823621.0,4.0,3.0,154.0,3.0,6.412423,584444.0,587446.0,3.0,6.664954,0.5,0.0,1.0,0.0,16.99148,0.0,0.0,8.780965,61.399993,0.0,118.533229,1495850.0
38,1848823623.0,3.0,2.0,132.0,3.0,27.528001,585846.0,588176.0,2.0,12.540865,1.0,,1.0,0.0,37.882273,1.0,0.0,41.822487,132.196721,0.0,102.179942,1240531.0
39,1848823627.0,4.0,3.0,155.0,5.0,5.051018,584169.0,587362.0,3.0,26.910972,0.5,0.0,,0.0,15.775998,2.0,0.0,42.63296,95.267946,1.0,124.213778,1315905.0
40,1848823633.0,4.0,3.0,133.0,3.0,26.532328,584827.0,587279.0,3.0,,0.5,0.0,1.0,0.0,36.682973,2.0,0.0,27.094843,12.94138,0.0,27.03828,1434583.0
41,1848823639.0,3.0,4.0,145.0,6.0,15.220463,586111.0,587709.0,4.0,24.658268,1.0,0.0,0.0,0.0,25.854943,0.0,0.0,20.10387,81.003364,1.0,234.799022,1485374.0
42,1848823643.0,3.0,,147.0,6.0,12.733926,585387.0,587910.0,2.0,1.122904,0.0,1.0,,1.0,23.563624,0.0,,4.094995,18.667091,0.0,50.964912,1419395.0
43,1848823647.0,3.0,3.0,61.0,1.0,98.652182,585255.0,587248.0,2.0,8.938509,1.0,0.0,1.0,0.0,109.422107,2.0,1.0,60.819794,70.194408,0.0,84.156413,1048217.0
44,1848823651.0,,3.0,61.0,5.0,98.765114,585941.0,587257.0,3.0,3.246707,1.0,0.0,1.0,0.0,109.293587,0.0,0.0,6.41729,150.032514,0.0,205.231808,1082473.0
45,1848823655.0,4.0,2.0,129.0,3.0,31.16518,584067.0,587819.0,2.0,119.1877,0.5,0.0,1.0,0.0,41.673909,,0.0,24.478625,2.913328,0.0,183.857944,1255892.0
46,1848823661.0,2.0,3.0,146.0,3.0,14.148026,584199.0,587735.0,4.0,63.861157,0.5,0.0,1.0,0.0,24.819694,2.0,0.0,36.686379,23.545431,0.0,88.662829,1414831.0
47,1848823664.0,3.0,3.0,98.0,,61.604752,584272.0,588285.0,3.0,,1.0,0.0,1.0,0.0,72.449136,0.0,,17.494191,85.026054,0.0,111.073489,1195212.0
48,1848823667.0,2.0,2.0,139.0,3.0,20.800243,584285.0,587080.0,3.0,18.839709,0.5,0.0,1.0,0.0,31.21515,3.0,,51.55232,129.162646,0.0,14.489745,1360914.0
